# SPEKA A1 word source — American English headwords (NGSL / high-frequency basis)
# Creative content (phonetic, exampleEN, tr) is original, authored for SPEKA. License-clean.
# Format (TAB-separated): headword <TAB> pos <TAB> phonetic <TAB> exampleEN <TAB> tr
# Lines starting with # are comments. Blank lines ignored.
# pos vocabulary: noun, verb, adjective, adverb, pronoun, preposition,
#                 conjunction, determiner, number, interjection, modal, auxiliary
#
# ---- Pronouns ----
I	pronoun	/aɪ/	I live in a small town.	ben
you	pronoun	/ju/	You are my best friend.	sen
he	pronoun	/hi/	He works at a hospital.	o (erkek)
she	pronoun	/ʃi/	She reads a book every night.	o (kadın)
it	pronoun	/ɪt/	It is a beautiful day.	o (cansız)
we	pronoun	/wi/	We play soccer on Saturdays.	biz
they	pronoun	/ðeɪ/	They live next door.	onlar
me	pronoun	/mi/	Can you help me, please?	beni / bana
him	pronoun	/hɪm/	I saw him at the store.	onu (erkek)
her	pronoun	/hɜr/	I gave her a gift.	onu / ona (kadın)
us	pronoun	/ʌs/	Please come with us.	bizi / bize
them	pronoun	/ðɛm/	I called them this morning.	onları / onlara
this	determiner	/ðɪs/	This phone is mine.	bu
that	determiner	/ðæt/	That car is very fast.	şu / o
these	determiner	/ðiz/	These shoes are new.	bunlar
those	determiner	/ðoʊz/	Those houses are old.	şunlar / onlar
my	determiner	/maɪ/	My name is Anna.	benim
your	determiner	/jʊr/	Is this your bag?	senin
his	determiner	/hɪz/	His office is on the third floor.	onun (erkek)
our	determiner	/aʊr/	Our team won the game.	bizim
their	determiner	/ðɛr/	Their dog is very friendly.	onların
#
# ---- Question words ----
what	pronoun	/wʌt/	What is your name?	ne
who	pronoun	/hu/	Who is at the door?	kim
where	adverb	/wɛr/	Where do you live?	nerede
when	adverb	/wɛn/	When does the movie start?	ne zaman
why	adverb	/waɪ/	Why are you late?	neden
how	adverb	/haʊ/	How are you today?	nasıl
which	determiner	/wɪtʃ/	Which color do you like?	hangi
#
# ---- Articles & determiners ----
a	determiner	/ə/	I have a question.	bir
an	determiner	/ən/	She is an artist.	bir
the	determiner	/ðə/	The sun is bright.	(belirli artikel)
some	determiner	/sʌm/	I need some water.	biraz / bazı
any	determiner	/ˈɛni/	Do you have any money?	hiç / herhangi
all	determiner	/ɔl/	All the seats are taken.	hepsi / bütün
many	determiner	/ˈmɛni/	There are many people here.	çok (sayılabilir)
much	determiner	/mʌtʃ/	How much does it cost?	çok (sayılamaz)
more	determiner	/mɔr/	I want more coffee.	daha fazla
no	determiner	/noʊ/	There is no time left.	hiç / hayır
every	determiner	/ˈɛvri/	I go to school every day.	her
#
# ---- Be / have / do ----
be	verb	/bi/	I want to be a teacher.	olmak
am	auxiliary	/æm/	I am very happy.	-im (ben)
is	auxiliary	/ɪz/	She is at home.	-dir (o)
are	auxiliary	/ɑr/	They are ready.	-siniz / -ler
was	auxiliary	/wʌz/	I was tired yesterday.	-di (tekil geçmiş)
were	auxiliary	/wɜr/	We were at the park.	-diler (çoğul geçmiş)
have	verb	/hæv/	I have two brothers.	sahip olmak
has	verb	/hæz/	She has a new car.	sahip (o)
do	verb	/du/	I do my homework after dinner.	yapmak
does	auxiliary	/dʌz/	Does he speak English?	yapar (o)
did	auxiliary	/dɪd/	Did you call her?	yaptı (geçmiş)
#
# ---- Modal verbs ----
can	modal	/kæn/	I can swim very well.	-ebilmek
could	modal	/kʊd/	Could you open the window?	-ebilirdi (kibar rica)
will	modal	/wɪl/	I will see you tomorrow.	-ecek (gelecek)
would	modal	/wʊd/	I would like a coffee.	-erdi / isterdim
should	modal	/ʃʊd/	You should rest now.	-meli
must	modal	/mʌst/	You must wear a seatbelt.	-meli / zorunda
may	modal	/meɪ/	May I come in?	-ebilir (izin)
#
# ---- Core verbs ----
go	verb	/ɡoʊ/	I go to work by bus.	gitmek
come	verb	/kʌm/	Please come to my party.	gelmek
get	verb	/ɡɛt/	I get up at seven.	almak / olmak
make	verb	/meɪk/	She can make a great cake.	yapmak
take	verb	/teɪk/	Take an umbrella with you.	almak / götürmek
see	verb	/si/	I can see the ocean.	görmek
know	verb	/noʊ/	I know the answer.	bilmek
think	verb	/θɪŋk/	I think you are right.	düşünmek
want	verb	/wɑnt/	I want a glass of water.	istemek
need	verb	/nid/	I need your help.	ihtiyaç duymak
like	verb	/laɪk/	I like cold weather.	hoşlanmak / sevmek
love	verb	/lʌv/	I love my family.	sevmek
say	verb	/seɪ/	Say it one more time.	söylemek
tell	verb	/tɛl/	Tell me the truth.	anlatmak / söylemek
ask	verb	/æsk/	I want to ask a question.	sormak
work	verb	/wɜrk/	I work in an office.	çalışmak
play	verb	/pleɪ/	The kids play in the yard.	oynamak
